registration_month,powertrain_group,registration_count
1944-07,combustion,1
1944-09,combustion,1
1944-11,combustion,1
1945-01,combustion,4
1945-06,combustion,1
1945-07,combustion,1
1945-08,combustion,1
1945-09,combustion,1
1945-11,combustion,2
1945-12,combustion,1
1946-01,combustion,37
1946-02,combustion,2
1946-03,combustion,1
1946-04,combustion,1
1946-05,combustion,3
1946-06,combustion,3
1946-08,combustion,4
1946-09,combustion,2
1946-10,combustion,3
1946-11,combustion,4
1946-12,combustion,5
1947-01,combustion,36
1947-02,combustion,6
1947-03,combustion,4
1947-04,combustion,5
1947-05,combustion,1
1947-06,combustion,7
1947-07,combustion,2
1947-08,combustion,4
1947-09,combustion,6
1947-10,combustion,9
1947-11,combustion,7
1947-12,combustion,3
1948-01,combustion,44
1948-02,combustion,4
1948-03,combustion,7
1948-04,combustion,6
1948-05,combustion,4
1948-06,combustion,7
1948-07,combustion,8
1948-08,combustion,2
1948-09,combustion,3
1948-10,combustion,5
1948-11,combustion,5
1948-12,combustion,2
1949-01,combustion,36
1949-02,combustion,1
1949-03,combustion,5
1949-04,combustion,2
1949-05,combustion,3
1949-06,combustion,4
1949-07,combustion,4
1949-08,combustion,4
1949-09,combustion,3
1949-10,combustion,4
1949-11,combustion,1
1949-12,combustion,1
1950-01,combustion,29
1950-02,combustion,2
1950-03,combustion,3
1950-04,combustion,1
1950-05,combustion,3
1950-06,combustion,6
1950-07,combustion,1
1950-08,combustion,5
1950-09,combustion,4
1950-10,combustion,4
1950-11,combustion,7
1950-12,combustion,5
1951-01,combustion,60
1951-02,combustion,3
1951-03,combustion,3
1951-04,combustion,4
1951-05,combustion,12
1951-06,combustion,9
1951-07,combustion,8
1951-08,combustion,3
1951-09,combustion,8
1951-10,combustion,10
1951-11,combustion,11
1951-12,combustion,7
1952-01,combustion,93
1952-02,combustion,15
1952-03,combustion,8
1952-04,combustion,15
1952-05,combustion,11
1952-06,combustion,9
1952-07,combustion,7
1952-08,combustion,10
1952-09,combustion,5
1952-10,combustion,6
1952-11,combustion,4
1952-12,combustion,6
1953-01,combustion,46
1953-02,combustion,5
1953-03,combustion,4
