registration_month,powertrain_group,registration_count
2012-06,combustion,9245
2012-06,hybrid,85
2012-06,bev,6
2012-07,combustion,8669
2012-07,hybrid,110
2012-08,combustion,8480
2012-08,hybrid,78
2012-08,bev,3
2012-09,combustion,8963
2012-09,hybrid,56
2012-09,bev,1
2012-09,phev,1
2012-10,combustion,9849
2012-10,hybrid,109
2012-10,bev,3
2012-11,combustion,9204
2012-11,hybrid,79
2012-11,phev,4
2012-11,bev,1
2012-12,combustion,8810
2012-12,hybrid,153
2013-01,combustion,10498
2013-01,hybrid,133
2013-02,combustion,8776
2013-02,hybrid,128
2013-03,combustion,10053
2013-03,hybrid,107
2013-03,bev,6
2013-03,phev,1
2013-04,combustion,9204
2013-04,hybrid,94
2013-05,combustion,10275
2013-05,hybrid,112
2013-06,combustion,11090
2013-06,hybrid,98
2013-06,bev,1
2013-06,phev,1
2013-07,combustion,11408
2013-07,hybrid,108
2013-07,bev,1
2013-07,other_or_unknown,1
2013-08,combustion,10809
2013-08,hybrid,130
2013-08,bev,1
2013-09,combustion,10695
2013-09,hybrid,110
2013-09,bev,3
2013-09,phev,1
2013-10,combustion,11733
2013-10,hybrid,117
2013-10,phev,3
2013-10,bev,2
2013-11,combustion,11750
2013-11,hybrid,114
2013-11,bev,5
2013-12,combustion,10955
2013-12,hybrid,95
2013-12,bev,4
2014-01,combustion,13013
2014-01,hybrid,121
2014-01,phev,3
2014-01,bev,1
2014-02,combustion,11260
2014-02,hybrid,106
2014-02,phev,11
2014-03,combustion,13327
2014-03,hybrid,136
2014-03,phev,25
2014-03,bev,6
2014-04,combustion,11131
2014-04,hybrid,93
2014-04,phev,36
2014-04,bev,4
2014-05,combustion,12798
2014-05,hybrid,123
2014-05,phev,25
2014-05,bev,12
2014-06,combustion,14118
2014-06,hybrid,137
2014-06,phev,20
2014-06,bev,4
2014-07,combustion,13634
2014-07,hybrid,124
2014-07,bev,10
2014-07,phev,9
2014-08,combustion,13189
2014-08,hybrid,105
2014-08,bev,11
2014-08,phev,10
2014-09,combustion,14437
2014-09,hybrid,116
2014-09,phev,18
2014-09,bev,5
2014-10,combustion,14880
2014-10,hybrid,143
2014-10,phev,15
2014-10,bev,7
2014-11,combustion,14227
2014-11,hybrid,121
2014-11,bev,15
2014-11,phev,12
2014-12,combustion,13783
2014-12,hybrid,116
2014-12,phev,12
2014-12,bev,9
2015-01,combustion,15857
2015-01,hybrid,200
2015-01,bev,16
2015-01,phev,14
2015-02,combustion,13329
2015-02,hybrid,129
2015-02,bev,17
2015-02,phev,11
2015-03,combustion,15249
2015-03,hybrid,146
2015-03,phev,39
2015-03,bev,10
2015-04,combustion,12947
2015-04,hybrid,152
2015-04,bev,18
2015-04,phev,11
2015-05,combustion,14314
2015-05,hybrid,130
2015-05,bev,11
2015-05,phev,10
2015-06,combustion,16314
2015-06,hybrid,199
2015-06,phev,18
2015-06,bev,15
2015-07,combustion,15550
2015-07,hybrid,216
2015-07,bev,20
2015-07,phev,17
2015-08,combustion,14924
2015-08,hybrid,148
2015-08,phev,16
2015-08,bev,12
2015-09,combustion,15666
2015-09,hybrid,178
2015-09,phev,22
2015-09,bev,18
2015-10,combustion,15911
2015-10,hybrid,188
2015-10,bev,16
2015-10,phev,9
2015-11,combustion,14889
2015-11,hybrid,197
2015-11,bev,20
2015-11,phev,14
2015-12,combustion,14483
2015-12,hybrid,209
2015-12,bev,33
2015-12,phev,7
2016-01,combustion,15725
2016-01,hybrid,217
2016-01,bev,35
2016-01,phev,12
2016-02,combustion,14246
2016-02,hybrid,189
2016-02,bev,18
2016-02,phev,14
2016-03,combustion,15379
2016-03,hybrid,257
2016-03,bev,35
2016-03,phev,23
2016-04,combustion,14132
2016-04,hybrid,216
2016-04,bev,42
2016-04,phev,33
2016-05,combustion,15119
2016-05,hybrid,242
2016-05,bev,46
2016-05,phev,23
2016-06,combustion,16259
2016-06,hybrid,293
2016-06,bev,47
2016-06,phev,30
2016-07,combustion,15596
2016-07,hybrid,321
2016-07,bev,65
2016-07,phev,30
2016-08,combustion,16743
2016-08,hybrid,309
2016-08,bev,57
2016-08,phev,41
2016-09,combustion,17289
2016-09,hybrid,349
2016-09,bev,50
2016-09,phev,31
2016-10,combustion,18331
2016-10,hybrid,276
2016-10,bev,86
2016-10,phev,37
2016-11,combustion,17382
2016-11,hybrid,364
2016-11,bev,79
2016-11,phev,29
2016-12,combustion,16211
2016-12,hybrid,298
2016-12,bev,69
2016-12,phev,22
2017-01,combustion,18203
2017-01,hybrid,419
2017-01,bev,99
2017-01,phev,25
2017-02,combustion,15665
2017-02,hybrid,381
2017-02,bev,122
2017-02,phev,28
2017-03,combustion,18250
2017-03,hybrid,538
2017-03,bev,129
2017-03,phev,55
2017-04,combustion,15063
2017-04,hybrid,391
2017-04,bev,125
2017-04,phev,36
2017-05,combustion,17619
2017-05,hybrid,456
2017-05,bev,172
2017-05,phev,52
2017-06,combustion,18687
2017-06,hybrid,345
2017-06,bev,197
2017-06,phev,69
2017-07,combustion,17181
2017-07,hybrid,296
2017-07,bev,189
2017-07,phev,45
2017-08,combustion,18101
2017-08,hybrid,382
2017-08,bev,225
2017-08,phev,63
2017-09,combustion,18691
2017-09,hybrid,348
2017-09,bev,226
2017-09,phev,52
2017-10,combustion,20183
2017-10,hybrid,469
2017-10,bev,321
2017-10,phev,50
2017-11,combustion,19951
2017-11,hybrid,483
2017-11,bev,351
2017-11,phev,69
2017-12,combustion,17191
2017-12,hybrid,564
2017-12,bev,235
2017-12,phev,71
2018-01,combustion,19794
2018-01,hybrid,519
2018-01,bev,292
2018-01,phev,62
2018-02,combustion,15412
2018-02,hybrid,440
2018-02,bev,174
2018-02,phev,70
2018-03,combustion,16676
2018-03,hybrid,568
2018-03,bev,199
2018-03,phev,84
2018-04,combustion,13905
2018-04,hybrid,580
2018-04,bev,260
2018-04,phev,72
2018-05,combustion,17795
2018-05,hybrid,717
2018-05,bev,382
2018-05,phev,130
2018-06,combustion,17926
2018-06,hybrid,668
2018-06,bev,358
2018-06,phev,94
2018-07,combustion,17132
2018-07,hybrid,790
2018-07,bev,358
2018-07,phev,135
2018-08,combustion,17312
2018-08,hybrid,783
2018-08,bev,347
2018-08,phev,115
2018-09,combustion,16725
2018-09,hybrid,677
2018-09,bev,359
2018-09,phev,106
2018-10,combustion,19218
2018-10,hybrid,903
2018-10,bev,469
2018-10,phev,106
2018-11,combustion,16522
2018-11,hybrid,868
2018-11,bev,352
2018-11,phev,106
2018-12,combustion,14914
2018-12,hybrid,839
2018-12,bev,271
2018-12,phev,61
2019-01,combustion,17439
2019-01,hybrid,956
2019-01,bev,332
2019-01,phev,97
2019-02,combustion,14800
2019-02,hybrid,870
2019-02,bev,330
2019-02,phev,155
2019-03,combustion,16084
2019-03,hybrid,949
2019-03,bev,320
2019-03,phev,116
2019-04,combustion,13419
2019-04,hybrid,1252
2019-04,bev,340
2019-04,phev,91
2019-05,combustion,15238
2019-05,hybrid,1356
2019-05,bev,369
2019-05,phev,151
2019-06,combustion,15675
2019-06,hybrid,1223
2019-06,bev,478
2019-06,phev,126
2019-07,combustion,15894
2019-07,hybrid,1493
2019-07,bev,385
2019-07,phev,132
2019-08,combustion,16224
2019-08,hybrid,1508
2019-08,bev,419
2019-08,phev,137
2019-09,combustion,17006
2019-09,hybrid,1524
2019-09,bev,757
2019-09,phev,182
2019-10,combustion,17485
2019-10,hybrid,1824
2019-10,bev,402
2019-10,phev,150
2019-11,combustion,16577
2019-11,hybrid,1680
2019-11,bev,381
2019-11,phev,144
2019-12,combustion,15164
2019-12,hybrid,1792
2019-12,bev,377
2019-12,phev,97
2020-01,combustion,16264
2020-01,hybrid,1920
2020-01,bev,399
2020-01,phev,158
2020-02,combustion,14297
2020-02,hybrid,1740
2020-02,bev,357
2020-02,phev,167
2020-03,combustion,10428
2020-03,hybrid,1500
2020-03,bev,332
2020-03,phev,108
2020-04,combustion,1077
2020-04,hybrid,80
2020-04,bev,25
2020-04,phev,4
2020-05,combustion,11285
2020-05,hybrid,1629
2020-05,bev,196
2020-05,phev,100
2020-06,combustion,15022
2020-06,hybrid,1836
2020-06,bev,329
2020-06,phev,108
2020-07,combustion,15281
2020-07,hybrid,2455
2020-07,bev,305
2020-07,phev,148
2020-08,combustion,12077
2020-08,hybrid,2141
2020-08,bev,305
2020-08,phev,134
2020-09,combustion,13538
2020-09,hybrid,2240
2020-09,bev,455
2020-09,phev,124
2020-10,combustion,13871
2020-10,hybrid,2196
2020-10,bev,276
2020-10,phev,133
2020-11,combustion,12959
2020-11,hybrid,2544
2020-11,bev,382
2020-11,phev,149
2020-12,combustion,10799
2020-12,hybrid,2157
2020-12,bev,353
2020-12,phev,104
2021-01,combustion,14333
2021-01,hybrid,2674
2021-01,bev,456
2021-01,phev,139
2021-01,other_or_unknown,1
2021-02,combustion,13567
2021-02,hybrid,2401
2021-02,bev,350
2021-02,phev,140
2021-03,combustion,15720
2021-03,hybrid,2855
2021-03,bev,663
2021-03,phev,209
2021-04,combustion,13992
2021-04,hybrid,2832
2021-04,bev,385
2021-04,phev,182
2021-05,combustion,15741
2021-05,hybrid,3201
2021-05,bev,470
2021-05,phev,190
2021-06,combustion,16227
2021-06,hybrid,3196
2021-06,bev,400
2021-06,phev,89
2021-07,combustion,15901
2021-07,hybrid,3557
2021-07,bev,1238
2021-07,phev,621
2021-08,combustion,8024
2021-08,hybrid,2177
2021-08,bev,475
2021-08,phev,153
2021-09,combustion,13468
2021-09,hybrid,2652
2021-09,bev,1608
2021-09,phev,604
2021-10,combustion,14059
2021-10,hybrid,3455
2021-10,bev,705
2021-10,phev,307
2021-11,combustion,15720
2021-11,hybrid,3671
2021-11,bev,1157
2021-11,phev,542
2021-12,combustion,11686
2021-12,hybrid,3186
2021-12,bev,1302
2021-12,phev,267
2022-01,combustion,14068
2022-01,hybrid,2883
2022-01,bev,650
2022-01,phev,291
2022-02,combustion,12834
2022-02,hybrid,2940
2022-02,bev,974
2022-02,phev,481
2022-03,combustion,27729
2022-03,hybrid,2285
2022-03,bev,2194
2022-03,phev,606
2022-04,combustion,7226
2022-04,hybrid,5102
2022-04,phev,1198
2022-04,bev,835
2022-05,combustion,10490
2022-05,hybrid,4293
2022-05,bev,986
2022-05,phev,896
2022-06,combustion,10267
2022-06,hybrid,4137
2022-06,phev,923
2022-06,bev,855
2022-07,combustion,8641
2022-07,hybrid,5113
2022-07,bev,906
2022-07,phev,839
2022-08,combustion,9852
2022-08,hybrid,4638
2022-08,bev,2791
2022-08,phev,786
2022-09,combustion,9562
2022-09,hybrid,4424
2022-09,bev,2540
2022-09,phev,637
2022-10,combustion,9819
2022-10,hybrid,5085
2022-10,bev,1268
2022-10,phev,1088
2022-11,combustion,9738
2022-11,hybrid,4446
2022-11,bev,2671
2022-11,phev,716
2022-12,combustion,7995
2022-12,hybrid,3978
2022-12,bev,2345
2022-12,phev,538
2023-01,combustion,8737
2023-01,hybrid,5026
2023-01,bev,1384
2023-01,phev,623
2023-02,combustion,7503
2023-02,hybrid,4542
2023-02,bev,899
2023-02,phev,489
2023-03,combustion,9931
2023-03,hybrid,6804
2023-03,bev,2927
2023-03,phev,725
2023-04,combustion,6999
2023-04,hybrid,5422
2023-04,bev,1247
2023-04,phev,743
2023-05,combustion,9153
2023-05,hybrid,6929
2023-05,bev,1451
2023-05,phev,937
2023-06,combustion,17875
2023-06,hybrid,10641
2023-06,bev,2859
2023-06,phev,1523
2023-07,hybrid,4766
2023-07,combustion,4065
2023-07,bev,1037
2023-07,phev,562
2023-08,hybrid,7098
2023-08,combustion,5934
2023-08,bev,1225
2023-08,phev,970
2023-09,hybrid,6923
2023-09,combustion,6136
2023-09,bev,2478
2023-09,phev,972
2023-10,hybrid,8117
2023-10,combustion,7304
2023-10,bev,2506
2023-10,phev,1144
2023-11,hybrid,8641
2023-11,combustion,7426
2023-11,bev,3062
2023-11,phev,1456
2023-12,hybrid,10440
2023-12,combustion,4406
2023-12,bev,4289
2023-12,phev,1591
2024-01,combustion,9879
2024-01,hybrid,6144
2024-01,phev,302
2024-01,bev,278
2024-01,other_or_unknown,1
2024-02,combustion,7849
2024-02,hybrid,5794
2024-02,bev,448
2024-02,phev,267
2024-03,combustion,8414
2024-03,hybrid,6747
2024-03,bev,577
2024-03,phev,350
2024-04,combustion,7479
2024-04,hybrid,6324
2024-04,bev,356
2024-04,phev,295
2024-05,combustion,8132
2024-05,hybrid,5992
2024-05,bev,451
2024-05,phev,275
2024-06,combustion,7245
2024-06,hybrid,5390
2024-06,bev,600
2024-06,phev,316
2024-07,combustion,8196
2024-07,hybrid,5872
2024-07,bev,614
2024-07,phev,326
2024-07,other_or_unknown,1
2024-08,combustion,7779
2024-08,hybrid,5890
2024-08,bev,652
2024-08,phev,316
2024-09,combustion,7783
2024-09,hybrid,6283
2024-09,bev,933
2024-09,phev,490
2024-10,combustion,8882
2024-10,hybrid,6538
2024-10,bev,714
2024-10,phev,395
2024-11,combustion,7362
2024-11,hybrid,7109
2024-11,bev,763
2024-11,phev,394
2024-12,combustion,6555
2024-12,hybrid,5871
2024-12,bev,955
2024-12,phev,743
2025-01,combustion,8104
2025-01,hybrid,6081
2025-01,bev,690
2025-01,phev,340
2025-02,combustion,6776
2025-02,hybrid,5634
2025-02,bev,659
2025-02,phev,552
2025-03,combustion,7827
2025-03,hybrid,6599
2025-03,bev,717
2025-03,phev,355
2025-04,combustion,6275
2025-04,hybrid,5297
2025-04,bev,570
2025-04,phev,236
2025-05,combustion,7052
2025-05,hybrid,5918
2025-05,bev,594
2025-05,phev,361
2025-06,combustion,7050
2025-06,hybrid,6181
2025-06,bev,1139
2025-06,phev,532
2025-07,combustion,7305
2025-07,hybrid,7024
2025-07,bev,705
2025-07,phev,507
2025-08,combustion,7419
2025-08,hybrid,7014
2025-08,bev,541
2025-08,phev,470
2025-09,combustion,8465
2025-09,hybrid,7674
2025-09,bev,733
2025-09,phev,442
2025-10,hybrid,8337
2025-10,combustion,8089
2025-10,bev,657
2025-10,phev,561
2025-11,hybrid,7848
2025-11,combustion,7755
2025-11,bev,808
2025-11,phev,522
2025-12,hybrid,6226
2025-12,combustion,5553
2025-12,bev,746
2025-12,phev,491
2026-01,combustion,7852
2026-01,hybrid,7064
2026-01,bev,924
2026-01,phev,691
2026-02,combustion,7026
2026-02,hybrid,5591
2026-02,bev,831
2026-02,phev,615
2026-03,hybrid,7374
2026-03,combustion,6757
2026-03,bev,2880
2026-03,phev,1210
2026-04,hybrid,6543
2026-04,combustion,5137
2026-04,bev,1246
2026-04,phev,946
2026-05,hybrid,6296
2026-05,combustion,6250
2026-05,bev,1858
2026-05,phev,917
2026-06,combustion,6657
2026-06,hybrid,6635
2026-06,bev,2996
2026-06,phev,1238
